yy,mm,lat5,lon5,cwp_grid,days,skj_c,yft_c,oth_c
1950,11,"35N","155E","61350015500",0,0.000,0.000,0.000
1950,11,"35N","160E","61350016000",0,0.000,0.000,0.000
1950,11,"40N","150E","61400015000",0,0.000,0.000,0.000
1950,11,"40N","155E","61400015500",0,0.000,0.000,0.000
1950,11,"40N","160E","61400016000",0,0.000,0.000,0.000
1950,12,"20N","115E","61200011500",0,0.000,0.000,0.000
1950,12,"20N","130E","61200013000",0,0.000,0.000,0.000
1950,12,"20N","135E","61200013500",0,0.000,0.000,0.000
1950,12,"20N","140E","61200014000",0,0.000,0.000,0.000
1950,12,"20N","145E","61200014500",0,0.000,0.000,0.000
1950,12,"25N","130E","61250013000",0,0.000,0.000,0.000
1950,12,"25N","135E","61250013500",0,0.000,0.000,0.000
1950,12,"25N","140E","61250014000",0,0.000,0.000,0.000
1950,12,"25N","145E","61250014500",0,0.000,0.000,0.000
1950,12,"30N","135E","61300013500",0,0.000,0.000,0.000
1950,12,"30N","140E","61300014000",0,0.000,0.000,0.000
1950,12,"35N","140E","61350014000",0,0.000,0.000,0.000
1950,12,"35N","145E","61350014500",0,0.000,0.000,0.000
1950,12,"35N","150E","61350015000",0,0.000,0.000,0.000
1950,12,"35N","155E","61350015500",0,0.000,0.000,0.000
1950,12,"35N","160E","61350016000",0,0.000,0.000,0.000
1951,1,"20N","130E","61200013000",0,0.000,0.000,0.000
1951,1,"20N","135E","61200013500",0,0.000,0.000,0.000
1951,1,"20N","140E","61200014000",0,0.000,0.000,0.000
1951,1,"20N","145E","61200014500",0,0.000,0.000,0.000
1951,1,"20N","150E","61200015000",0,0.000,0.000,0.000
1951,1,"25N","130E","61250013000",0,0.000,0.000,0.000
1951,1,"25N","135E","61250013500",0,0.000,0.000,0.000
1951,1,"25N","140E","61250014000",0,0.000,0.000,0.000
1951,1,"25N","145E","61250014500",0,0.000,0.000,0.000
1951,1,"25N","150E","61250015000",0,0.000,0.000,0.000
1951,1,"30N","125E","61300012500",0,0.000,0.000,0.000
1951,1,"30N","130E","61300013000",0,0.000,0.000,0.000
1951,1,"30N","135E","61300013500",0,0.000,0.000,0.000
1951,1,"30N","140E","61300014000",0,0.000,0.000,0.000
1951,1,"45N","150E","61450015000",0,0.000,0.000,0.000
1951,2,"20N","120E","61200012000",0,0.000,0.000,0.000
1951,2,"20N","125E","61200012500",0,0.000,0.000,0.000
1951,2,"20N","130E","61200013000",0,0.000,0.000,0.000
1951,2,"20N","135E","61200013500",0,0.000,0.000,0.000
1951,2,"20N","140E","61200014000",0,0.000,0.000,0.000
1951,2,"20N","145E","61200014500",0,0.000,0.000,0.000
